Mes;Animales vivos;Carnes y despojos comestibles;Pescados y crustáceos, moluscos e invertebrados acuáticos;Leche y productos lácteos, huevos, miel;Demás productos de origen animal;Plantas vivas y productos de la floricultura;Legumbres y hortalizas, plantas, raíces y tubérculos;Frutos comestibles, cortezas de agrios o melones;Café, té, yerba mate y especias;Cereales;Productos de molinería, malta, almidón y fécula;Semillas y frutos oleaginosos, forrajes;Gomas, resinas, y demás jugos y extractos vegetales;Materias trenzables y demás productos vegetales;Grasas y aceites animales o vegetales;Preparaciones de carne, pescado, crustáceos, moluscos;Azúcares y artículos confitería;Cacao y sus preparaciones;Preparaciones a base de cereal, harina, leche; pastelería;Preparaciones de legumbres u hortalizas, frutos, otras;Preparaciones alimenticias diversas;Bebidas, líquidos alcohólicos y vinagre ;Residuos industrias alimentarias. Alimentos para animales;Tabaco, sucedáneos del tabaco elaborados;Sal; azufre; tierras y piedras; yesos, cales y cementos;Minerales, escorias y cenizas;Combustibles y aceites minerales y sus productos;Productos químicos inorgánicos;Productos químicos orgánicos;Productos farmacéuticos;Abonos;Extractos curtientes, pinturas, tintas;Aceites esenciales, perfumería, cosméticos;Jabones, ceras artificiales, pastas;Materias albuminoideas, colas;Pólvoras, explosivos, fósforos;Productos fotográficos, cinematográficos;Productos diversos de las industrias químicas;Materias plásticas y manufacturas;Caucho y manufacturas;Pieles y cueros;Manufacturas de cuero, artículos de viaje, bolsos;Peletería y confecciones;Madera, carbón vegetal y manufacturas de madera;Corcho y sus manufacturas;Manufactura de espartería y cestería;Pastas de madera, desperdicios de papel o cartón;Papel, cartón y sus manufacturas;Productos editoriales, prensa, textos;Seda;Lana y pelo fino u ordinario; hilados y tejidos de crin;Algodón;Demás fibras vegetales, hilados de papel;Filamentos sintéticos o artificiales;Fibras sintéticas o artificiales discontinuas;Guata, fieltro y telas sin tejer; cordeles ,cuerdas, cordajes;Alfombras y materias textiles;Tejidos especiales, superficies textiles con pelo;Tejidos impregnados, recubiertos;Tejidos de punto;Prendas y complementos de vestir, de punto;Prendas y complementos de vestir, excepto de punto;Demás artículos textiles confeccionados;Calzado, botines, artículos análogos y partes;Artículos de sombrerería y partes;Paraguas, bastones, látigos y sus partes;Plumas, flores artificiales; manufactura de cabellos;Manufacturas de piedra, yeso, cemento, mica y análogas;Productos cerámicos;Vidrio y manufacturas;Perlas finas, piedras y metales preciosos;Fundición, hierro y acero;Manufactura de fundición, de hierro o acero;Cobre y sus manufacturas;Níquel y sus manufacturas;Aluminio y sus manufacturas;Plomo y manufacturas;Zinc y manufacturas;Estaño y manufacturas;Demás metales comunes, "cermets" y manufacturas;Herramientas y útiles, cuchillería y cubiertos;Manufacturas diversas de metales comunes;Reactores nucleares, calderas, máquinas y partes;Aparatos y material eléctrico, de grabación o imagen;Vehículos y material para vía férrea, aparatos de señalización;Vehículos automóviles, tractores, ciclos, partes y accesorios;Navegación aérea o espacial;Navegación marítima o fluvial;Instrumentos y aparatos de óptica, fotografía, cinematografía;Relojería;Instrumentos de música, partes y accesorios;Armas y municiones, sus partes y accesorios;Muebles;Juguetes, artículos para recreo, deporte; partes y accesorios;Manufacturas diversas;Objetos de arte, de colección o de antigüedad;Disposiciones de tratamiento especial;Total exportaciones
noviembre-08;1.266;105.824;11.396;7.954;1.040;55.426;8.046;29.446;102.264;1.357;2.073;965;41;0;5.142;1.085;20.824;5.297;10.225;2.406;20.106;3.949;1.874;2.134;16.603;1.206;772.367;10.503;12.934;25.295;12.334;11.635;42.480;10.650;4.535;101;195;11.692;86.575;12.265;45.158;7.292;501;6.340;72;13;0;50.857;22.846;0;53;23.643;12;6.582;6.952;3.935;256;15.916;4.945;24.733;40.537;51.216;11.862;40.368;483;12;38;5.777;22.401;8.258;80.041;37.713;19.325;5.154;1.173;15.036;29;16;44;1;26.662;14.837;69.694;46.583;1;43.679;5.394;134;11.381;108;86;0;22.193;3.233;9.801;133;356; 2.245.379 
diciembre-08;2.218;103.754;17.566;10.322;336;63.281;7.521;39.177;151.809;806;2.073;861;15;86;13.998;356;23.132;6.673;11.974;3.529;37.767;6.679;1.732;2.372;10.718;1.072;617.518;17.842;8.982;30.305;4.028;17.464;38.795;11.949;3.461;174;109;19.987;92.982;12.870;26.599;7.009;164;5.289;14;8;0;56.916;23.656;0;319;27.949;1;7.750;16.905;3.695;516;5.280;4.287;18.614;40.617;40.803;7.966;30.532;347;67;10;6.657;19.771;9.815;85.613;56.622;41.538;3.434;1.759;12.029;137;18;0;183;21.543;14.405;62.080;51.968;51;65.690;5.033;257;11.475;210;0;172;19.075;2.933;9.465;345;388; 2.224.271 
enero-09;3.053;89.696;16.900;3.355;511;38.645;8.072;57.535;179.874;559;1.992;442;5;35;11.357;2.173;39.088;4.801;9.742;2.463;27.660;4.830;3.301;736;13.926;1.620;1.178.684;4.392;13.084;24.949;2.245;9.164;36.762;8.840;3.643;45;53;26.135;86.540;15.045;13.380;5.351;197;3.511;23;11;0;56.130;22.942;0;192;7.713;11;4.483;3.952;4.766;270;2.220;6.672;9.517;23.390;27.942;8.503;9.824;136;14;26;3.407;14.461;15.526;80.594;74.212;24.598;2.596;0;8.123;89;87;14;1;7.305;6.199;53.910;37.634;62;23.336;2.784;1.188;6.546;206;2;37;11.223;1.439;6.362;161;470; 2.525.698 
febrero-09;3.544;89.271;11.643;2.962;491;52.947;6.706;81.971;157.680;1.213;2.375;1.073;61;7;12.698;338;41.264;4.145;8.536;2.373;24.316;2.502;2.388;3.139;14.047;7.620;787.915;6.500;9.706;26.594;5.637;19.887;50.057;8.122;3.853;117;47;20.706;94.303;15.286;21.759;4.321;167;4.229;8;6;0;54.441;17.067;1;262;18.246;0;5.266;6.175;5.152;179;4.519;5.568;11.365;18.816;26.744;7.426;18.575;186;28;23;6.018;13.733;13.755;165.839;70.848;52.327;5.334;435;6.437;10;0;2;66;18.267;8.325;60.073;50.983;12;20.593;2.605;767;6.226;240;82;325;13.928;1.220;6.386;5;709; 2.340.118 
marzo-09;2.001;110.071;14.533;5.185;9.855;87.890;4.724;88.142;148.433;634;2.253;886;33;3;23.160;1.665;36.430;5.848;9.769;2.774;32.268;4.055;1.386;3.902;25.065;2.857;1.111.285;7.335;14.315;32.152;3.637;18.542;43.379;9.657;5.532;194;91;24.997;91.017;14.738;20.699;4.920;307;5.217;2;27;0;56.321;16.658;0;289;18.203;17;5.112;5.053;4.394;247;5.839;3.896;16.397;24.751;27.565;8.751;14.803;370;1;0;6.201;16.937;15.486;135.852;74.716;13.769;7.052;430;9.667;0;3;3;168;13.005;8.786;53.928;52.142;44;22.962;9.396;647;7.214;130;7;2;11.693;1.579;8.393;77;509; 2.711.332 
abril-09;1.860;89.339;12.579;3.135;2.728;110.999;1.976;59.270;118.110;1.544;1.491;2.035;79;24;15.028;2.728;52.895;4.948;8.075;2.765;25.215;3.029;2.529;1.803;28.695;3.387;1.052.270;4.900;10.731;34.261;6.185;12.759;35.526;8.676;3.363;90;80;26.856;78.573;11.168;7.566;5.576;102;4.425;44;2;0;47.270;12.878;0;815;17.157;26;3.402;3.500;8.215;310;4.453;2.982;10.911;20.994;22.586;5.362;11.488;172;2;24;5.616;13.208;12.753;109.724;62.728;13.720;8.479;456;9.978;117;0;0;121;14.349;4.028;45.567;42.579;3;22.157;6.353;82;6.870;206;55;383;9.126;1.139;5.050;2;754; 2.427.571 
mayo-09;1.550;95.491;14.337;3.606;2.585;126.967;3.398;68.334;109.280;454;1.236;1.793;45;39;18.731;4.701;42.018;4.879;8.842;2.827;25.908;3.532;2.093;2.138;30.074;908;1.295.863;7.175;11.867;33.791;2.827;11.811;35.921;10.452;4.186;150;137;22.458;78.613;11.719;8.376;4.472;92;4.530;40;30;0;47.221;17.121;0;221;23.822;0;7.723;5.054;9.775;97;6.650;19.868;32.754;20.094;27.652;6.482;13.321;189;57;38;4.830;17.009;16.217;101.791;32.309;13.927;11.551;710;11.363;250;61;0;84;13.023;4.287;49.910;49.552;33;19.909;11.771;248;8.589;203;2;220;8.712;1.909;4.782;375;472; 2.742.519 
junio-09;1.565;50.833;11.982;1.671;450;54.111;1.801;64.732;143.444;134;1.975;726;85;74;14.397;2.246;53.911;4.726;7.702;3.556;25.333;2.510;1.719;2.400;27.638;6.081;1.346.187;8.902;13.335;35.904;4.285;11.154;30.954;8.850;4.271;126;47;22.422;86.764;11.988;9.458;4.912;155;4.250;5;46;0;54.839;15.381;0;193;13.562;28;3.611;6.386;6.401;362;6.702;9.899;27.431;20.889;26.532;9.975;13.833;249;50;47;4.779;14.237;10.539;113.523;65.246;12.551;13.418;1.053;11.148;34;1;0;241;21.883;3.923;59.991;42.949;16;21.270;4.462;37;10.299;89;51;239;11.303;1.240;6.925;4;443; 2.738.083 
julio-09;2.132;40.367;16.660;4.303;268;133.227;3.049;84.603;133.378;69;2.077;1.347;42;23;17.341;2.381;53.271;3.608;8.681;4.463;25.955;2.813;2.880;4.892;23.461;2.323;1.397.906;29.038;16.498;31.005;5.281;14.183;38.420;10.289;4.736;75;178;25.563;92.399;11.286;10.240;5.569;91;4.489;10;8;23;51.089;16.001;0;471;10.658;0;4.062;3.339;3.233;282;3.806;3.099;8.155;22.130;25.421;6.972;6.719;304;16;28;3.976;13.802;15.820;132.054;69.893;11.869;17.129;776;11.389;180;77;0;110;6.695;3.151;61.544;40.713;12;24.103;10.621;130;18.641;105;4;990;9.670;1.630;5.687;21;1.125; 2.898.600 
agosto-09;874;21.560;16.605;2.259;527;96.997;4.120;65.956;110.450;77;1.434;1.152;58;10;16.409;806;20.660;4.583;8.472;3.978;26.877;1.292;1.728;2.062;12.021;5.631;1.453.754;9.118;12.418;31.990;4.241;15.062;28.090;9.033;4.926;245;59;24.495;93.172;9.742;5.130;4.719;110;2.567;12;15;113;41.594;12.272;0;325;7.762;6;3.022;1.537;1.751;264;2.745;2.158;9.572;16.614;26.757;5.717;4.685;264;22;24;4.017;10.250;10.384;125.600;63.449;13.312;16.673;14;9.525;23;36;3;174;3.781;2.784;39.111;48.420;51;19.894;7.080;836;7.053;142;1;107;9.885;1.908;5.309;60;890; 2.673.470 
