Mes;Materias plásticas y manufacturas;Caucho y manufacturas;Manufacturas de cuero, artículos de viaje, bolsos;Madera, carbón vegetal y manufacturas de madera;Papel, cartón y sus manufacturas;Manufacturas de piedra, yeso, cemento, mica y análogas;Vidrio y manufacturas;Manufactura de fundición, de hierro o acero;Cobre y sus manufacturas;Aluminio y sus manufacturas;Manufacturas diversas
enero-13;147.147;7.614;6.121;2.566;29.918;3.409;13.556;17.863;24.061;12.326;17.305
febrero-13;125.746;9.897;5.199;3.678;30.014;3.763;12.280;12.434;35.435;18.711;16.222
marzo-13;105.201;14.008;7.298;4.068;25.971;4.579;19.569;13.890;28.037;19.310;17.960
abril-13;144.120;12.750;8.797;3.669;35.701;4.944;21.573;15.017;29.627;20.545;21.368
mayo-13;146.351;11.945;8.007;4.711;32.316;4.514;13.567;19.654;25.370;17.408;18.498
junio-13;129.648;12.514;5.900;2.928;32.242;4.328;17.129;18.012;34.593;19.168;17.085
julio-13;133.846;7.472;6.849;3.760;38.663;4.054;15.214;20.476;25.350;16.622;21.710
agosto-13;106.468;10.793;6.902;3.507;32.761;4.478;13.925;10.458;25.024;15.880;16.034
septiembre-13;149.759;8.366;5.165;3.341;31.173;4.946;15.783;13.512;35.129;16.494;23.188
octubre-13;146.913;8.151;7.752;4.629;37.438;6.082;19.505;16.374;26.625;19.358;24.127
noviembre-13;127.218;7.817;6.976;3.325;32.818;5.042;12.680;16.477;23.373;15.881;21.886
diciembre-13;138.802;6.739;8.345;2.813;32.811;5.930;20.983;23.031;26.159;18.248;22.606
enero-14;110.753;3.909;4.717;4.060;28.218;3.157;13.232;16.192;23.505;12.852;27.048
febrero-14;118.477;6.504;5.652;3.786;30.981;3.788;14.503;18.444;20.861;15.930;24.921
marzo-14;132.712;9.495;6.487;5.400;27.143;4.187;20.671;13.346;26.744;18.715;16.562
abril-14;116.505;8.923;6.121;3.755;26.837;3.420;18.054;14.255;18.349;19.400;16.625
mayo-14;124.860;6.810;7.325;4.668;31.545;5.394;23.192;21.084;23.428;16.760;16.954
junio-14;125.770;6.436;6.531;3.117;26.384;3.870;16.424;15.825;20.561;15.127;19.040
julio-14;167.491;9.001;8.362;5.833;35.128;5.993;26.514;15.202;27.131;17.358;16.251
agosto-14;145.388;6.412;5.589;6.212;33.133;3.962;21.092;11.046;24.546;17.708;17.095
septiembre-14;167.165;11.073;6.660;4.783;26.921;4.493;20.737;11.427;19.059;18.156;16.386
octubre-14;151.437;8.647;7.271;4.489;28.000;4.418;21.562;12.140;18.292;17.870;19.420
noviembre-14;115.530;6.950;6.727;4.076;27.603;4.274;23.758;12.004;22.672;16.018;13.557
diciembre-14;140.849;5.682;10.746;4.272;24.028;5.243;18.652;14.844;23.918;15.273;13.728
enero-15;124.536;6.028;3.702;3.484;27.332;2.111;12.182;16.074;21.531;14.768;15.631
febrero-15;112.432;6.049;5.220;2.804;19.707;3.632;12.718;13.888;20.736;19.976;15.111
marzo-15;102.898;5.994;6.407;2.462;18.710;3.019;13.883;11.693;18.646;22.315;14.525
abril-15;129.003;9.065;7.130;4.404;25.932;2.922;15.231;9.506;19.464;16.287;19.635
mayo-15;131.456;8.461;6.641;3.614;30.766;3.512;14.882;15.449;23.544;22.214;17.162
junio-15;127.191;8.616;7.178;3.950;25.826;3.416;13.207;17.832;25.133;18.246;16.103
julio-15;124.287;7.343;5.631;4.341;27.982;4.838;16.599;12.240;18.717;16.771;18.102
agosto-15;110.972;6.563;6.014;3.956;22.109;3.921;14.863;10.471;20.629;14.851;14.896
