Mes;Materias plásticas y manufacturas;Caucho y manufacturas;Manufacturas de cuero, artículos de viaje, bolsos;Madera, carbón vegetal y manufacturas de madera;Corcho y sus manufacturas;Manufactura de espartería y cestería;Papel, cartón y sus manufacturas;Plumas, flores artificiales; manufactura de cabellos;Manufacturas de piedra, yeso, cemento, mica y análogas;Vidrio y manufacturas;Manufactura de fundición, de hierro o acero;Cobre y sus manufacturas;Níquel y sus manufacturas;Aluminio y sus manufacturas;Plomo y manufacturas;Zinc y manufacturas;Estaño y manufacturas;Demás metales comunes, "cermets" y manufacturas;Manufacturas diversas de metales comunes;Manufacturas diversas
noviembre-10;123.229;9.148;7.512;2.650;19;21;42.352;22;4.035;14.078;13.065;22.503;383;11.826;1.038;45;4;67;3.729;5.055
diciembre-10;101.252;14.156;8.838;2.876;20;12;41.411;44;3.678;17.965;15.092;28.038;37;13.444;1.037;46;0;58;3.084;6.124
enero-11;89.888;6.739;4.811;1.402;17;23;39.674;0;4.256;13.919;12.719;17.765;19;10.416;1.089;3;2;124;2.411;4.405
febrero-11;97.736;17.029;6.989;2.407;1;9;30.502;1;2.894;20.779;10.881;44.217;0;12.621;839;48;0;65;2.493;5.395
marzo-11;143.918;21.504;7.499;3.815;1;15;57.450;11;5.329;16.994;16.944;43.039;20;15.886;659;54;0;105;4.333;6.159
abril-11;140.390;12.282;6.040;2.937;39;25;47.816;243;4.398;13.303;26.135;26.508;24;14.362;2.008;1;0;87;2.825;5.248
mayo-11;128.075;15.463;7.042;2.196;12;21;55.060;16;4.992;20.762;8.888;19.550;0;12.512;345;21;3;32;3.026;5.746
junio-11;126.505;17.376;6.276;2.890;22;42;53.150;20;5.602;17.376;22.431;34.915;0;16.195;953;44;1;11;3.335;5.260
julio-11;161.364;14.209;6.212;3.039;34;4;53.483;23;5.358;14.263;15.293;37.451;34;11.856;1.492;2;6;31;2.468;7.923
agosto-11;146.165;19.021;7.093;2.883;31;12;50.775;15;5.580;15.360;24.094;26.106;11;12.951;451;15;0;87;2.993;5.976
septiembre-11;117.855;21.384;6.189;2.884;33;12;51.050;31;5.457;14.432;29.338;23.252;0;10.397;215;47;1;75;2.228;5.152
octubre-11;121.554;13.023;6.413;3.035;13;11;44.786;20;4.804;17.195;19.216;26.110;0;15.561;152;2;0;175;3.004;6.086
noviembre-11;114.858;17.025;8.921;3.069;41;11;47.523;29;4.558;15.061;21.132;32.558;6;12.063;56;29;38;34;3.504;4.779
